nretweets,srclng,srclat,dstlng,dstlat
91,6.1422961,46.1983922,-122.4194155,37.7749295
91,32.400208,37.751954,35.243322,38.963745
90,77.22496,28.635308,72.8776559,19.0759837
90,6.1422961,46.1983922,2.1699187,41.387917
90,77.22496,28.635308,77.22496,28.635308
88,-3.435973,55.378051,-79.3831843,43.653226
88,6.1422961,46.1983922,-2.247926,53.479251
88,32.400208,37.751954,32.85411,39.92077
87,-3.7003454,40.4166909,-8.1338558,42.5750554
87,-0.1276831,51.5073346,-122.4194155,37.7749295
85,-51.2287346,-30.0277041,-46.6388182,-23.5489433
85,-0.1276831,51.5073346,103.819836,1.352083
85,-2.247926,53.479251,-6.2600825,53.3494426
85,-43.2095869,-22.9035393,-46.6388182,-23.5489433
84,-43.2095869,-22.9035393,-43.2095869,-22.9035393
84,6.1422961,46.1983922,12.56738,41.87194
83,-74.0059731,40.7143528,-79.3831843,43.653226
83,18.06491,59.32893,18.06491,59.32893
83,-0.1276831,51.5073346,77.5945627,12.9715987
83,-0.1276831,51.5073346,72.8776559,19.0759837
82,-74.0059731,40.7143528,-122.4194155,37.7749295
81,6.1422961,46.1983922,103.819836,1.352083
81,2.1699187,41.387917,-3.74922,40.463667
80,6.1422961,46.1983922,-102.4107493,34.2331373
80,-0.1276831,51.5073346,2.3522219,48.856614
80,-0.1276831,51.5073346,78.96288,20.593684
80,-0.1276831,51.5073346,0.121817,52.205337
80,-51.2287346,-30.0277041,-51.92528,-14.235004
80,6.1422961,46.1983922,23.7293097,37.9837155
80,133.775136,-25.274398,144.9630556,-37.8136111
78,13.003822,55.604981,-0.1276831,51.5073346
78,-3.7003454,40.4166909,-70.641997,-33.4691199
77,32.85411,39.92077,32.85411,39.92077
77,-73.5539925,45.5086699,-73.5539925,45.5086699
77,-0.1276831,51.5073346,-0.137163,50.82253
77,12.4607737,41.9015141,12.56738,41.87194
76,-3.7003454,40.4166909,-0.4809945,38.34521
74,-0.1276831,51.5073346,28.97696,41.00527
74,-3.7003454,40.4166909,-5.844781,43.3602994
74,6.1422961,46.1983922,133.775136,-25.274398
74,6.1422961,46.1983922,18.06491,59.32893
73,-74.0059731,40.7143528,-119.4179324,36.778261
72,6.1422961,46.1983922,-70.641997,-33.4691199
72,-0.1276831,51.5073346,-102.552784,23.634501
72,-0.1276831,51.5073346,-77.0363658,38.8951118
71,-0.1276831,51.5073346,-122.3320708,47.6062095
71,-3.435973,55.378051,-74.0059731,40.7143528
71,-0.1276831,51.5073346,-3.7837117,52.1306607
71,-3.188267,55.953252,-3.188267,55.953252
71,-2.9234409,43.2569629,-3.7003454,40.4166909
71,6.1422961,46.1983922,-106.346771,56.130366
71,37.6154009,55.7427928,37.6154009,55.7427928
71,-74.0059731,40.7143528,-77.0363658,38.8951118
70,-77.0363658,38.8951118,-74.0059731,40.7143528
70,6.1422961,46.1983922,-123.1139268,49.261226
70,-4.6524982,50.5036299,-0.1276831,51.5073346
69,-0.5161829,51.655632,-0.1276831,51.5073346
68,-74.0059731,40.7143528,-73.95,40.65
68,4.8951679,52.3702157,4.8951679,52.3702157
68,-3.435973,55.378051,-1.1743197,52.3555177
68,32.400208,37.751954,27.12872,38.41885
68,6.1422961,46.1983922,4.8951679,52.3702157
67,-3.7003454,40.4166909,-5.6619264,43.5452608
67,-0.1276831,51.5073346,139.6917064,35.6894875
67,9.186516,45.4654542,12.56738,41.87194
66,-3.7003454,40.4166909,-8.7124471,42.2313564
66,6.1422961,46.1983922,-3.74922,40.463667
65,-84.7227071,39.0841968,-2.247926,53.479251
65,9.186516,45.4654542,9.186516,45.4654542
65,-122.4194155,37.7749295,-122.4194155,37.7749295
65,6.1422961,46.1983922,5.291266,52.132633
65,-3.7003454,40.4166909,-5.6630253,40.9649681
65,-2.247926,53.479251,-2.9915726,53.4083714
65,-0.137163,50.82253,-0.1276831,51.5073346
64,144.9630556,-37.8136111,151.2068896,-33.873651
64,-0.1276831,51.5073346,-123.1139268,49.261226
63,-84.7227071,39.0841968,133.775136,-25.274398
63,-0.1276831,51.5073346,-106.346771,56.130366
63,-0.1276831,51.5073346,-73.5539925,45.5086699
63,-46.6388182,-23.5489433,-47.9291698,-15.7801482
63,-2.247926,53.479251,-3.188267,55.953252
63,6.1422961,46.1983922,78.96288,20.593684
63,-74.0758333,4.5980556,-74.0758333,4.5980556
62,-3.435973,55.378051,-3.7003454,40.4166909
62,-118.2436849,34.0522342,-87.6297982,41.8781136
62,-3.74922,40.463667,-5.9962951,37.38264
61,6.1422961,46.1983922,13.4060912,52.519171
61,-102.1732882,31.9524799,-0.1276831,51.5073346
61,139.6917064,35.6894875,139.6917064,35.6894875
61,-74.0059731,40.7143528,-3.435973,55.378051
61,-0.1276831,51.5073346,-86.80249,33.5206608
61,-105.2705456,40.0149856,-0.1276831,51.5073346
60,-2.58791,51.454513,-0.1276831,51.5073346
60,-0.1276831,51.5073346,-5.9340683,54.5974433
60,-3.435973,55.378051,-2.247926,53.479251
60,151.2068896,-33.873651,133.775136,-25.274398
60,-3.74922,40.463667,-0.3768049,39.4702393
